Question,A,B,C,D
"Which logical fallacy is used in the text?
Mayor Goodman wants to create more bicycle lanes in Milford. However, many citizens of Milford live far from work. It would not be realistic to force us to give up our cars and bike everywhere.",bandwagon fallacy: the assumption that the popular choice is automatically correct,circular reasoning: an argument that supports a claim with the claim itself,straw man: a misrepresentation of an opponent's position that makes it easier to argue against,
"What kind of sentence is this?
In ancient Greece and Rome, dice were usually made from bone and ivory.",declarative,interrogative,exclamatory,
"Which word would you find on a dictionary page with the following guide words?
thin - trouble",tug,to,,
"Would you find the word album on a dictionary page with the following guide words?
ache - anxiety",yes,no,,
"Which tense does the sentence use?
The clown jumps through the ring.",future tense,present tense,past tense,
"What kind of sentence is this?
Never reveal the four-digit PIN that you use to make ATM transactions.",exclamatory,interrogative,imperative,
"Which logical fallacy is used in the text?
My dentist recommends this toothpaste brand, but I'm reluctant to take the advice of someone with such bad taste. He has truly ugly art on the office walls, and the upholstery in his waiting room is atrocious.",hasty generalization: a broad claim based on too few observations,appeal to nature: the assumption that natural things are always good,"ad hominem: an attack against the person making the argument, rather than the argument itself",
"What kind of sentence is this?
Evan campaigned tirelessly in support of his neighbor's bid for elective office.",declarative,interrogative,exclamatory,
Is a toaster a good or a service?,a service,a good,,
"Which word would you find on a dictionary page with the following guide words?
celebrate - cobbler",chair,crocodile,,
Which text message is more formal?,Ms. Wyatt is already here. She's waiting in the lobby.,Heads up! Wyatt is here. In the lobby.,,
"Which word would you find on a dictionary page with the following guide words?
taxi - tie",trestle,therefore,,
"Which word would you find on a dictionary page with the following guide words?
clover - cry",come,cap,,
"Is this a run-on sentence?
Overcome with joy, Mrs. Fischer told her husband the exciting news about her promotion.",yes,no,,
"Which figure of speech is used in this text?
I've heard that Christine & Co. is downsizing, so I'm happy to see that their store in downtown Greenville will remain open for now.",euphemism,apostrophe,,
"Would you find the word animal on a dictionary page with the following guide words?
alas - armistice",no,yes,,
"Would you find the word spent on a dictionary page with the following guide words?
signal - stern",yes,no,,
"Which word would you find on a dictionary page with the following guide words?
page - pie",peek,proud,,
"Which figure of speech is used in this text?
It's an open secret that Hunter is writing a book based on his experiences living in Singapore. He never talks about it, but almost all his friends know.",oxymoron,hyperbole,,
"What kind of sentence is this?
Please put the chicken, fish, and vegetables on the large white platter.",interrogative,imperative,exclamatory,
"Would you find the word variety on a dictionary page with the following guide words?
velvet - voyage",yes,no,,
Is an airplane a good or a service?,a service,a good,,
"What kind of sentence is this?
What are you most thankful for?",exclamatory,interrogative,,
"What kind of sentence is this?
Scarlett considers Paris the most romantic city in the world.",exclamatory,declarative,interrogative,
"Would you find the word slide on a dictionary page with the following guide words?
satisfy - suggest",no,yes,,
"Would you find the word survey on a dictionary page with the following guide words?
shampoo - silly",no,yes,,
"Which word would you find on a dictionary page with the following guide words?
bookcase - burden",beware,brilliant,,
"What kind of sentence is this?
Give Santiago a tour of the building and then take him to Mr. Hutchinson's office.",exclamatory,interrogative,imperative,
"What does the euphemism in this text suggest?
Mr. Chen is enjoying his golden years in a luxurious beachside community just down the street from his grandchildren.",Mr. Chen lives near his family.,Mr. Chen is old.,,
"Which figure of speech is used in this text?
Peter is a real Benedict Arnold. After promising to work on my campaign for class president, he decided to support my opponent.",simile,allusion,,
"Would you find the word big on a dictionary page with the following guide words?
beauty - booth",yes,no,,
