Question,A,B,C,D,Correct Option,Main Branch,Sub-Branch,GPT-3.5,GPT-4,Eval GPT-3.5,Eval GPT-4
Approximately how many galaxies are there in the universe?,an infinite number,a trillion,about a hundred billion,an octillion,C,Physics,Astronomy,A,B,0,0
What planet has the most volcanoes?,Mars,Earth,uranus,venus,D,Physics,Astronomy,B,D,0,1
What large dwarf planet in our solar system was only discovered in 2005?,Cerus,artemis,eris,zeus,C,Physics,Astronomy,C,C,1,1
"Similar to the coil on a stove, changes in what reflect an increase in the temperature of a star?",texture,direction,rotation,color,D,Physics,Astronomy,D,D,1,1
"What celestial bodies are classified by color and temperature, ranging from blue to red and hottest to coolest?",astroids,planets,stars,galaxies,C,Physics,Astronomy,C,C,1,1
What does the moon not have to protect it from extreme temperatures?,atmosphere,metals,oceans,oxygen,A,Physics,Astronomy,A,A,1,1
The tidal forces near what celestial phenomena are so great they can actually tear matter from a companion star?,large holes,dwarf star,black holes,wormholes,C,Physics,Astronomy,C,C,1,1
What is the outermost part of the sun's atmosphere called?,corona,rays,ultraviolet,particles,A,Physics,Astronomy,A,A,1,1
What is the name of the galaxy we live in?,milky way,Centaurus A,Andromeda,Bode's Galaxy,A,Physics,Astronomy,A,A,1,1
What is the largest body in the solar system?,earth,asteroids,planet,sun,D,Physics,Astronomy,D,D,1,1
All planets exhibit the same or nearly the same direction and shape of what path around the sun?,orbit,revolution,ellipse,nucleus,A,Physics,Astronomy,A,A,1,1
What are the dark areas that appear on the sun called?,coronas,anomalies,coreolis effect,sunspots,D,Physics,Astronomy,D,D,1,1
How many moons does pluto have?,three,two,six,four,A,Physics,Astronomy,B,C,0,0
"What do you call egg-shaped galaxies, which are reddish to yellowish in color because they contain mostly old stars?",conical galaxies,irregular galaxies,spiral galaxies,elliptical galaxies,D,Physics,Astronomy,D,D,1,1
What is the outer layer of the sun made up of?,nitrogen,oxygen,gas,plasma,D,Physics,Astronomy,D,D,1,1
"Near-earth asteroids cross paths with earth, meaning they could collide; what are the paths called?",trajectory,curves,galaxies,orbits,D,Physics,Astronomy,D,D,1,1
Europa and titan are names of what kind of celestial objects?,galaxies,stars,moons,asteroids,C,Physics,Astronomy,C,C,1,1
Neutron stars are the corpses of left over what?,gravitational explosions,supernova explosions,planet explosions,stellar explosions,B,Physics,Astronomy,B,B,1,1
What causes a meteoroid to vaporize after it enters the atmosphere?,gravitational pull,atmospheric pressure,spontaneous combustion,friction with atmosphere,D,Physics,Astronomy,B,D,0,1
What force holds planets in their orbits?,gravity,centrifuge,magnetism,Big Bang,A,Physics,Astronomy,A,A,1,1
What is the largest planet in our solar system?,mars,uranus,earth,jupiter,D,Physics,Astronomy,D,D,1,1
What form does water take on the planet mars?,plasma,ice,gas,liquid,B,Physics,Astronomy,B,B,1,1
"What is the name for the cooler, darker areas on the sun’s surface?",corona,aurora borealis,anomalies,sunspots,D,Physics,Astronomy,D,D,1,1
"Radar maps of venus show that it has mountains, canyons and volcanoes surrounded by plains of what?",helium,grasses,lava,water,C,Physics,Astronomy,C,C,1,1
What is the only planet we know that has plate techtonics?,Saturn,Mars,Jupiter,earth,D,Physics,Astronomy,D,D,1,1
What are the light highlands of the moon called?,mariae,terrae,kepler hills,craters,B,Physics,Astronomy,B,B,1,1
What do you call a pattern of stars in the night sky?,planets,constellation,Solar Systems,cluster,B,Physics,Astronomy,B,B,1,1
"When a meteoroid reaches earth, what is the remaining object called?",meteor,comet,orbit,meteorite,D,Physics,Astronomy,D,D,1,1
What is the only planet that rotates clockwise as viewed from its north pole?,uranus,earth,venus,mars,C,Physics,Astronomy,C,C,1,1
What forces keep the moon orbiting the earth?,polar,gravitational,cosmic,magnetic,B,Physics,Astronomy,B,B,1,1
Red stars are the coolest; which are the hottest?,giant,white,yellow,blue,D,Physics,Astronomy,D,D,1,1
What zone is outside the radiative zone?,diffusion zone,activation zone,peripheral zone,convection zone,D,Physics,Astronomy,D,D,1,1
What shape is the orbit of a planet?,vertical,elliptical,cleaved,spiral,B,Physics,Astronomy,B,B,1,1
"In stars like our sun, hydrogen atoms join together to create what?",helium atom,oxygen atom,water molecule,iron atom,A,Physics,Astronomy,A,A,1,1
What does every star emit that humans cannot see?,sound,light,radiation,dust,C,Physics,Astronomy,B,C,0,1
Energy that the sun and other stars release into space is called what?,static energy,kinetic energy,mechanical energy,electromagnetic energy,D,Physics,Astronomy,D,D,1,1
The lack of annihilation radiation coming to us from space proves that the universe is dominated by what?,vacuum,energy,matter,space,C,Physics,Astronomy,B,C,0,1
What keeps the moon orbiting earth?,Coriolis effect,gravity,the Sun,axial tilt,B,Physics,Astronomy,B,B,1,1
"""red-shift"" refers to a shift toward red in the spectrum from what celestial bodies?",galaxies,planets,stars,comets,C,Physics,Astronomy,A,A,0,0
What type of orbit do the planets make in the solar system?,conical,elliptical,vertical,figure eight,B,Physics,Astronomy,B,B,1,1
How many miles is the distance between the earth and sun?,91,82,93,78,C,Physics,Astronomy,C,C,1,1
Light from a distant galaxy can travel different paths to the earth because it is bent around an intermediary galaxy by what?,gravity,radiation,strength,variation,A,Physics,Astronomy,A,A,1,1
What is the theory scientists use to explain the matter in the universe and how it's held together?,specific model,standard model,original model,organic model,B,Physics,Astronomy,B,B,1,1
What is the only known planet with large amounts of water?,jupiter,earth,saturn,mars,B,Physics,Astronomy,B,B,1,1
The distance that light can travel in a year is known as what?,beam year,earth year,light year,solar year,C,Physics,Astronomy,C,C,1,1
What are mars' moons thought to be?,new asteriods,guerrillas asteroids,common asteriods,captured asteroids,D,Physics,Astronomy,D,D,1,1
"The tails of the hale-bopp comet point away from the sun, evidence that light has what property of motion?",momentum,velocity,inertia,acceleration,A,Physics,Astronomy,A,A,1,1
What is the suns innermost layer called?,solar,surface,core,flare,C,Physics,Astronomy,C,C,1,1
What is the term for a galaxy that is a rotating disk of stars and dust?,cosmic galaxy,nebula,spiral galaxy,Milky Way,C,Physics,Astronomy,C,C,1,1
"Representing a leap in scientific understanding, einstein described what as a dent in the fabric of space and time?",gravity,light,motion,energy,A,Physics,Astronomy,A,A,1,1
What is the fourth planet from the sun?,Pluto,mars,Saturn,Mercury,B,Physics,Astronomy,B,B,1,1
Why is uranus so faint?,polluted atmosphere,too small,far away,too cold,C,Physics,Astronomy,C,C,1,1
What devices do astronomers use to see objects at wavelengths all across the electromagnetic spectrum?,spectrographs,microscopes,telescopes,levels,C,Physics,Astronomy,C,C,1,1
What are the dark areas of the moon called?,hollow space,maria,craters,laura,B,Physics,Astronomy,B,B,1,1
Most scientists think that ordinary matter makes up how much of the total matter in the universe?,less than half,greater than half,about half,more than half,A,Physics,Astronomy,B,A,0,1
What giant planet is far away from and much less dense than earth?,jupiter,venus,uranus,mars,A,Physics,Astronomy,C,A,0,1
"Stars spend most of their lives on the main sequence, fusing hydrogen into what?",carbon,helium,neon,nitrogen,B,Physics,Astronomy,B,B,1,1
The innermost layer of the sun is known as what?,surface,core,photosphere,convective zone,B,Physics,Astronomy,B,B,1,1
What is a thin layer of gas that surrounds earth called?,the cloud cover,the dioxide,the atmosphere,the wind cycle,C,Earth Sciences,Atmospheric Science,C,C,1,1
What type of air may get stuck on the windward side of a mountain range?,live air,brisk air,maritime air,steady air,C,Earth Sciences,Atmospheric Science,C,C,1,1
"As altitude rises, what happens to the temperature in the thermosphere?",oxygen decreases,oxygen increases,temperature decreases,temperature increases,D,Earth Sciences,Atmospheric Science,D,D,1,1
What is formed when humid air near the ground cools below its dew point?,weather,steam,fog,smoke,C,Earth Sciences,Atmospheric Science,C,C,1,1
What measures the amount of water in the air?,temperature,humidity,cloud cover,fire index,B,Earth Sciences,Atmospheric Science,B,B,1,1
What forms at the boundary between two air masses?,hurricane,a cool,a rough,a front,D,Earth Sciences,Atmospheric Science,D,D,1,1
What is at the top of the mesosphere?,Troposphere,Stratosphere,Mesosphere,mesopause,D,Earth Sciences,Atmospheric Science,D,D,1,1
Why does warm air rise higher in the troposphere?,It contains hydrogen,it is more dense than cool air,it is less flourishing than cool air,it is less dense than cool air,D,Earth Sciences,Atmospheric Science,D,D,1,1
What do increasing greenhouse gas concentrations in the air do to the earth's temperature?,Lower it,stable it,Pollute,raise it,D,Earth Sciences,Atmospheric Science,D,D,1,1
Which gas is responsible for global warming?,oxygen,hydrocarbons,ozone,carbon dioxide,D,Earth Sciences,Atmospheric Science,D,D,1,1
What are the highest clouds in the atmosphere?,noctilucent clouds,nebulous clouds,alto clouds,silicic clouds,A,Earth Sciences,Atmospheric Science,A,A,1,1
Light is scattered from what in our atmosphere?,particles,matter,ions,molecules,D,Earth Sciences,Atmospheric Science,D,D,1,1
The mixture of gases that surrounds the planet and makes up the atmosphere is known as ________.,vaccum,energy,air,fuel,C,Earth Sciences,Atmospheric Science,C,C,1,1
What is the name of the thin layer that acts as a boundary between the stratosphere and the mesosphere?,stratopause,spirogyra,ozone layer,spicule,A,Earth Sciences,Atmospheric Science,A,A,1,1
What natural process allows water to return again to the earth’s surface?,precipitation,currents,erosion,wind,A,Earth Sciences,Atmospheric Science,A,A,1,1
What is the name for the amount of water vapor in the air?,humidity,ambient,heat,viscosity,A,Earth Sciences,Atmospheric Science,A,A,1,1
"When the ph of precipitation is lowered because of air pollution, what results?",acid rain,abnormal rain,climate change,sleet,A,Earth Sciences,Atmospheric Science,A,A,1,1
Earth's temperature will increase further as more of what colorfully nicknamed gases are put into the atmosphere?,bluehouse gases,blue dioxide gases,green dioxide gases,greenhouse gases,D,Earth Sciences,Atmospheric Science,D,D,1,1
How are layers of the atmosphere divided?,air gradients,temperature gradients,color gradients,density gradients,B,Earth Sciences,Atmospheric Science,B,B,1,1
What is the name of the protective layer of gases that surrounds the earth and blocks harmful rays from the sun?,the corona,the protector,the coma,the atmosphere,D,Earth Sciences,Atmospheric Science,D,D,1,1
What is the term used for a large body of air of the same temperature and moisture conditions?,air group,sky mass,air mass,air pool,C,Earth Sciences,Atmospheric Science,C,C,1,1
What is the name of an extreme form of radiation fog?,tule fog,aura fog,smelt fog,cedar fog,A,Earth Sciences,Atmospheric Science,A,A,1,1
What atmospheric layer lies above the highest altitude an airplane can go and below the lowest altitude a spacecraft can orbit?,mesosphere,stratosphere,troposphere,thermosphere,A,Earth Sciences,Atmospheric Science,A,A,1,1
The abundance of this substance in the atmosphere is what most scientist agree that is causing global warming?,carbon dioxide,iron oxide,argon,liquid dioxide,A,Earth Sciences,Atmospheric Science,A,A,1,1
The greenhouse effect on earth is caused by an increase in what in the atmosphere?,vapor,phosphorous,carbon,satellites,C,Earth Sciences,Atmospheric Science,C,C,1,1
What layer high in the atmosphere protects living things from most of the sun’s harmful uv rays?,ozone layer,Mesosphere,troposphere,stratosphere,A,Earth Sciences,Atmospheric Science,A,A,1,1
