Question,A,B,C,D,Correct Option,Main Branch,Sub-Branch
"What take the shape of their container, and are relatively easy to compress?",semi-fluids,gases,molecules,fluids,B,Chemistry,Physical Chemistry
What is moving air called?,steam,wind,clouds,humidity,B,Earth Sciences,Atmospheric Science
What property makes bone marrow cells ideal for gene therapy?,behavior reproduction,irreversible reproduction,lifelong reproduction,Matching,C,Biology,Cell Biology
What is the name of the two metalloids in the carbon group called?,titantium and copper,silicon and gold,silver and gold,silicon and germanium,D,Chemistry,Inorganic Chemistry
What is the name of the zone where water is deeper than 200 meters called?,euphotic zone,transition zone,aphotic zone,eccentric zone,C,Earth Sciences,Oceanography
Many adults and some children suffer from a deficiency of lactase. these individuals are said to be lactose intolerant because they cannot digest the lactose found in what?,milk,peanuts,fruit,meat,A,Biology,Anatomy/Physiology
"Three-prong plugs, circuit breakers, and gfci outlets are safety features that recognize the danger of what?",heat,magnetism,electricity,gravity,C,Physics,Electromagnetism
"Catabolic reactions break down large organic molecules into smaller molecules, releasing the energy contained in what?",liquid bonds,chemical bonds,molecular bonds,crystals bonds,B,Chemistry,Organic Chemistry
"While climate change in earth history was due to natural processes, what is primarily to blame for recent global warming?",volcanos,wars,human actions,factories,C,Biology,Ecology
What is the simplest life cycle?,diploid life cycle,binary life cycle,haploid life cycle,metamorphic cycle,C,Biology,Ecology
What keeps the moon orbiting earth?,Coriolis effect,gravity,the Sun,axial tilt,B,Physics,Astronomy
What are formed by the attraction between oppositely charged ions?,ionic bonds,inept bonds,soluble bonds,magnetic bonds,A,Chemistry,Inorganic Chemistry
What produces hormones that directly regulate body processes?,lymph glands,hippocampus,pancreas,hypothalamus,D,Biology,Anatomy/Physiology
"Comparing anatomy, and characterizing the similarities and differences, provides evidence of what process?",regression,devolution,evolution,emergence,C,Biology,Evolutionary Biology
What is the second most abundant element in the earth's crust?,helium,nitrogen,silicon,carbon,C,Earth Sciences,Geology
Which kind of genetics approach involves mutating or deleting genes provides researchers with clues about gene function?,reverse genetics,possible genetics,impossible genetics,inverse genetics,A,Biology,Genetics
More than half of all known organisms are what?,insects,enzymes,mammals,spiders,A,Biology,Zoology
For what purpose does liver use the excess carbohydrate?,process sugar,to synthesize glycogen,dilute carbohydrates,convert starches,B,Biology,Anatomy/Physiology
Saturn is made mostly of helium and what else?,nitrogen,carbon,hydrogen,hydrogen,D,Physics,Astronomy
What are alkenes organic compounds that contain one or more double or triple bonds between carbon atoms described as?,insulated,unsaturated,saturated,strong,B,Chemistry,Organic Chemistry
"Electrons in covalent compounds are shared between the two atoms, unlike the case in what type of bonds?",horizontal bonds,ionic bonds,weak bonds,soluble bonds,B,Chemistry,Inorganic Chemistry
What is the resistance of a liquid to flow called?,turbulence,viscosity,permeability,elasticity,B,Physics,Mechanics
The mass of atoms is based on the number of protons and neutrons in what?,electrons,nucleus,molecules,components,B,Physics,Atomic Physics
Where do polychaete worms live?,the ocean floor,attached to marine life,in tide pools,in coral reefs,A,Biology,Ecology
What is the study of how and why plants and animals live where they do?,biogeography,geomorphology,heredity,lithography,A,Biology,Ecology
Muscles that position the pectoral girdle are located either on the anterior thorax or on this?,posterior thorax,posterior thorax,inferred thorax,analogous thorax,A,Biology,Anatomy/Physiology
What are the two major types of seed plants called?,perennials and annuals,gymnosperms and angiosperms,flowers and fruits,deciduous and evergreen,B,Biology,Botany
What do we call the energy-rich product of photosynthesis?,glucose,sugar,chloride,insulin,A,Biology,Biochemistry
How is oxygen transferred into the bloodstream?,mean diffusion,simple diffusion,hard diffusion,brain diffusion,B,Biology,Anatomy/Physiology
Ringworm and athlete's foot are human diseases caused by what simple organisms?,insects,bacteria,fungi,viruses,C,Biology,Microbiology
What is the measure of the change in the velocity of a moving object called?,transmission,acceleration,compression,pressurization,B,Physics,Mechanics
What are generally divided into prosimian and non-prosimian?,rodents,carnivores,insects,primates,D,Biology,Zoology
The creation and destruction of oceanic crust is the reason what moves?,continents,planets,animals,oceans,A,Earth Sciences,Geology
What is the concept by which two species within the same area to coexist by adapting by developing different specializations?,character displacement,character development,feature displacement,character concept,A,Biology,Ecology
A turbine that spins a generator will produce?,electricity,light,solar energy,magnetic fields,A,Physics,Electromagnetism
Meiosis in the sporophyte produces haploid cells called what?,spores,fibers,ions,seeds,A,Biology,Botany
"In this type of reaction, an element replaces another element in a compound, and the element is in any state of matter but is not an ion?",double-replacement reaction,replication reaction,polar reaction,single-replacement reaction,D,Chemistry,Inorganic Chemistry
What are the two distinct types of cells found in the animal kingdom?,bacteria and eukaryotes,DNA and Eukaryotes,chromosomes and eukaryotes,prokaryotes and eukaryotes,D,Biology,Cell Biology
"What category of elements are chacterized by their ability to reflect light, called luster, their high electrical and thermal conductivity, their high heat capacity, and their malleability and ductility?",nonmetals,halogens,metals,noble gases,C,Physics,Optics
Angiosperms are also known as what?,uncommon plants,dry plants,dead plants,flowering plants,D,Biology,Botany
An estimated 100 trillion of these live in the gut of an average person?,pathogens,viruses,bacteria,algae,C,Biology,Microbiology
"The ability to regulate what, which is possessed by mammals, was an advantage as earth’s climate went through sudden and dramatic changes?",body temperature,mutations,reflex behaviors,hair growth,A,Biology,Zoology
"What is the term for very large arrays of tandemly repeating, non-coding dna?",models dna,recombinant dna,addition dna,satellite dna,D,Biology,Genetics
What kind of map can show the features of the bottom of a body of water?,topographic,basic,country,bathymetric,D,Earth Sciences,Oceanography
"What evolved, adapted response to resource availability is the long-range seasonal movement of animals?",changing,Stagnation,migration,regulating,C,Biology,Ecology
"When animals get rid of their gaseous waste, what is exhaled through their mouth and nose?",carbon monoxide,carbon dioxide,oxygen,hydrogen,B,Biology,Zoology
What is another name for composite volcanos?,stratovolcanoes,fjords,fault lines,seismic giants,A,Earth Sciences,Geology
"Fossil records support the idea that periods of little change may be interrupted by bursts of rapid change, an evolutionary model contrasted by what?",elitism,gradualism,darwinian,minimalism,B,Earth Sciences,Geology
What type of winds occur when air is forced over a mountain range?,local winds,chinook winds,trade winds,doldrums,B,Earth Sciences,Geography
What do clouds trap into the atmosphere at night?,seawater,heat,light,smog,B,Earth Sciences,Geography
A nerve cell that carries messages is called a?,neuron,stem cell,mitochondria,platelet,A,Biology,Neuroscience
What group of animals are the largest arthropods?,fish,birds,spiders,insects,D,Biology,Zoology
What term describes a collection of similar cells that had a common embryonic origin?,tissue,organ-level organization,plasma,nucleus,A,Biology,Cell Biology
"Most biochemical molecules are macromolecules, meaning that they are what?",very large,very dense,very small,very abundant,A,Biology,Biochemistry
The name of a spinal cord region corresponds to the level at which spinal nerves pass through the what?,notochord,lumbar foramina,intervertebral foramina,synovial fluid,C,Biology,Anatomy/Physiology
The process of breaking down food into nutrients is known as __________,absorption,digestion,energy,filtration,B,Biology,Anatomy/Physiology
What are used to make maps of the moon and other planets?,radio telescopes,topographical charts,rendering satellites,imaging satellites,D,Physics,Astronomy
What term describes how closely packed the particles of matter are?,mass,density,range,space,B,Chemistry,Physical Chemistry
Populations of viruses do not grow through cell division because they?,are not cells,Acidic,Static,non living,A,Biology,Microbiology
What is likely to happen to a parasite if it kills its host?,it adapts,it thrives,it dies,it mutates,C,Biology,Ecology
