Question,A,B,C,D,Correct Option,Subject,GPT-3.5,GPT-4,Eval GPT-3.5,Eval GPT-4
One of the following is obtained in the by beta oxidation of odd chain fatty acids:,Acetyl-CoA + Acetyl-CoA,Acetyl-CoA + Propionyl-CoA,Propionyl CoA + Propionyl-CoA,Acetyl-CoA alone,B,Biochemistry,A,A,0,0
Which collagen produces sheets?,I,II,IV,VI,C,Biochemistry,C,C,1,1
Which vitamin is required for carboxylation of clotting factors? rpt Q33,Vitamin A,Vitamin D,Vitamin E,Vitamin K,D,Biochemistry,D,D,1,1
Degradation of a substance takes place in which part of the cell:,Mitochondria,Nucleus,Lysosome,ER,C,Biochemistry,C,C,1,1
Tomcat urine odor is seen in:,Multiple carboxylase deficiency,Phenylketonuria,Hawkinuria,Maple syrup disease,A,Biochemistry,C,A,0,1
Synol fluid contains-,Hyaluronic acid,Chondroitin sulphate,Keratan sulphate,Dermatan sulphate,A,Biochemistry,A,A,1,1
Dinitrophenol causes:,Inhibition of ATP synthase,Inhibition of electron transport,Uncoupling of oxidation and phosphorylation,Accumulation of ATP,C,Biochemistry,A,C,0,1
Substrate level phosphorylation is catalysed by which enzyme?,Succinate dehydrogenase,Alpha keto glutarate dehydrogenase,Succinate thiokinase,Malate dehydrogenase,C,Biochemistry,C,C,1,1
Reaction occuring in conversion of norepinephrine to epinephrine-,Hydroxylation,Oxidation,Glucuronidation,Methylation,D,Biochemistry,A,D,0,1
Melatonin is synthesized from,Histidine,Methionine,Tryptophan,Phenylalanine,C,Biochemistry,C,C,1,1
Enzyme specific for gluconeogenesis -,Glucose-6-phosphatase,Aldolase,Phosphoglycerate kinase,Phosphoglycerate mutase,A,Biochemistry,A,A,1,1
Which is a reverse transcriptase?,Topoisomerase 2,Telomerase,RNA polymerase 2,DNA polymerase alpha,B,Biochemistry,B,B,1,1
Which absorbs least water?,Mucilage,Cellulose,Gums,Pectin,B,Biochemistry,B,B,1,1
Acyl carnitine functions in:,Transport of long chain fatty acid,Transport of short chain fatty acid,Transport of NADH,Transport of FADH,A,Biochemistry,A,A,1,1
Most lethal karyotype is?,"45, YO","45, XO","47, XXY","48, XYYY",A,Biochemistry,C,A,0,1
In well fed state which of the following inhibit CPT1 on outer membrane of mitochondria:,Malonyl CoA,Acetyl CoA,ADP,Glucose,A,Biochemistry,A,A,1,1
Cytochrome 450 is located in -,Mitochondria,Cytoplasm,Endoplasmic reticulum,Golgi apparatus,C,Biochemistry,C,C,1,1
Phenylalanine is degraded into,Fumarate and succinate,Fumarate and acetoacetate,Fumarate and Malate,Fumarate and pyruvate,B,Biochemistry,B,B,1,1
Polyol pathway is responsible for formation of,Fructose from glucose,Galactose From Fructose,Galactose From Glucose,Glucose From Fructose,A,Biochemistry,A,A,1,1
Substrate for ATP synthase is,AMP,ADP,IMP,GMP,B,Biochemistry,A,A,0,0
The proteins presents in Deoxyribonucleic acid is,Protamines,Histone,Albumins,Globulins,B,Biochemistry,B,B,1,1
Function of mitochondrial DNA -,Encodes proteins of cell membrane,Encodes proteins of respiratory chain,Helps in cell replication,Formation of rRNA,B,Biochemistry,B,B,1,1
The inhibitor of complex IV of electron transpo chain is,Barbiturates,Animycin A,Hydrogen sulfide,Dimecaprol,C,Biochemistry,A,C,0,1
Hemoproteins are,Cytochrome C,Cytochrome 450,Myoglobin,Hemoglobin,A,Biochemistry,C,A,0,1
Hyperornithinemia-hyperammonemia- homocitrullinuria {HHH} syndrome is due to deficiency of-,Ornithine permease,Ornithine translocase,Ornithine decarboxylase,Ornithine Transcarbamoylase,B,Biochemistry,B,B,1,1
Role of somatotropine in fat metabolism,Antilipolytic,Lipolytic,Ketogenic,Glucogenic,A,Biochemistry,B,B,0,0
What is function of Intrinsic Factor - (NEET/DNB,Increases cobalamin absorption Pattern),Increases folate absorption,Converts prothrombin to thrombin,Converts fibrinogen to fibrin,A,Biochemistry,A,A,1,1
Hartnup disease is due to defective transport of -,Histidine,Argine,Lysine,Tryptophan,D,Biochemistry,D,D,1,1
Which of the following chemical reaction is involved in the conversion of noradrenaline to adrenaline?,Hydroxylation,Carboxylation,Methylation,Dehydrogenation,C,Biochemistry,A,C,0,1
Iron overload,Cannot occur because very efficient excretory mechanism are available,Occur in a deficiency of ferroxidase I,Would be accompanied by an increase in total serum transferrin,Might be caused by an ingestion of large amounts of iron along with alcohol,D,Biochemistry,D,D,1,1
Western blot is done for:,DNA,RNA,Lipid,Protein,D,Biochemistry,D,D,1,1
Anti-codon arm is seen in,m-RNA,r-RNA,t-RNA,sn- RNA,C,Biochemistry,A,A,0,0
Which is a product of purine metabolism?,Uric acid,Urea,Xanthine,Beta alanine,A,Biochemistry,A,A,1,1
Which of the following is an ionophore?,Carboxin,"2, 4 dinitrophonal",Atractiloside,Valinomycin,D,Biochemistry,D,D,1,1
Unwinding of DNA during replication is done by,Ligase,Helicase,Polymerase,Prinase,B,Biochemistry,B,B,1,1
Hydroxylation of proline requires -,Vitamin B1,Vitamin D,Vitamin C,Vitamin E,C,Biochemistry,C,C,1,1
Hexokinase is,Ligase,Transferase,Oxidoreductase,Reductase,B,Biochemistry,B,B,1,1
Which of the following urea cycle intermediate is the link between urea cycle and TCA cycle?,Argininosuccinate,Fumarate,Oxaloacetate,Succinate,B,Biochemistry,A,B,0,1
Glucose transporter in myocyte stimulated by insulin is:,GLUT-1,GLUT-2,GLUT-3,GLUT-4,D,Biochemistry,D,D,1,1
The co-enzyme required for the synthesis of fatty acid synthesis:,FAD,FADH2,NAD,NADPH2,D,Biochemistry,A,A,0,0
Kreb's cycle and urea cycle are linked by-,Succinate,Malate,a ketoglutarate,Fumarate,D,Biochemistry,C,D,0,1
"""Type I phenylketonuria"" is caused by a deficiency of",Phenylalanine transminase,Phenylalanine hydrolaxase,Tyrosine transaminase,Tyrosine hydroxylase,B,Biochemistry,A,B,0,1
"A population in Hardy-Weinberg equilibrium has certain individuals expressing a rare autosomal recessive disease. The frequency of affected individuals in the population is 1 in 90,000. What is the frequency of carriers in this population?",1 in 100,1 in 150,1 in 200,1 in 250,B,Biochemistry,B,C,1,0
The function of g DNA Polymerase,DNA repair,Mitochondrial DNA synthesis,"Processive, leading strand synthesis",Primase,B,Biochemistry,C,C,0,0
17-a hydroxylase is not involved in the pathway for synthesis of -,Cortisol,Aldosterone,Androsteredione,Testosterone,B,Biochemistry,A,A,0,0
Defect in Menke disease:,Lysyl hydroxylase,Lysyl oxidase,Prolyl hydroxylase,Prolyl oxidase,B,Biochemistry,A,B,0,1
Carbon mono-oxide (CO) is released in reaction catalyzed by-,Decarboxylases,Carboxylases,Heme oxygenase,Pyruvate Dehydrogenase,C,Biochemistry,C,C,1,1
What amount of tryptophan produces 1 gm of niacin?,40 mg,50 mg,60 mg,70 mg,C,Biochemistry,C,A,1,0
"In Citric acid cycle, which enzyme is inhibited by arsenite-",Isocitrate Dehydrogenase,a ketoglutarate Dehydrogenase,Succinate Dehydrogenase,Aconitase,B,Biochemistry,C,B,0,1
Which of the following is a reverse transcriptase?,Topoisomerase 2,Telomerase,RNA polymerase 2,DNA polymerase alpha,B,Biochemistry,B,B,1,1
a-oxidation occurs in,Mitochondria,Peroxisomes,Cytosol,Golgi apparatus,A,Biochemistry,B,B,0,0
Vitamin C is necessary in the formation of collagen. It is required for the conversion of:,Proline to hydroxyproline,Beta-carotene to vitamin A,Glutamate to gamma-carboxyglutamate,Pyridoxine to pyridoxal phosphate,A,Biochemistry,A,A,1,1
Which of the following is not the component of Multien- zyme Fatty Acid Synthase Complex?,Acetyl transacylase,Enoyl reductase,Malonyl transacylase,Monoamine oxidase,D,Biochemistry,D,D,1,1
Warburg effect is:,Aerobic glycolysis,Anaerobic glycolysis,Inhibition of glycolysis by oxygen,Inhibition of oxygen uptake by glycolysis,A,Biochemistry,A,A,1,1
Operon model was elucidated by,Jacob & Monad,Waston & Crick,Leiderburg & Tautum,Two D Herell,A,Biochemistry,A,A,1,1
Ketone body production occurs in?,Cytoplasm,Mitochondria,Golgi body,Nucleus,B,Biochemistry,B,B,1,1
"A 28-year-old man was found to have elevated cholesterol levels of 325 mg/dL on a routine checkup. His father died of a hea attack at the age of 42, and also had markedly elevated cholesterol levels throughout his life. The man's physician placed him on lovastatin, and his cholesterol levels dropped to 170 mg/dL. The nature of the elevated cholesterol in this patient is most likely due to a mutation in which one of the following proteins?",Microsomal triglyceride transfer protein,LCAT,Lipoprotein lipase,LDL receptor,D,Biochemistry,D,D,1,1
Least impoant in final pathway of Electron Chain Reaction is,Ph,Temperature (morning),Enzyme concentration,Substrate concentration,C,Biochemistry,C,B,1,0
Stop codons are,UAA,UAG,UGA,UAC,A,Biochemistry,A,A,1,1
Strenuous exercise is not done in this glycogen storage disease:,McArdle disease,Anderson disease,Pompe disease,Von Gierke disease,A,Biochemistry,A,A,1,1
Type of collagen maximum in skin:-,Type I,Type II,Type III,Type IV,A,Biochemistry,A,A,1,1
Vitamin essential for transamination is:,B1,B2,B6,B12,C,Biochemistry,B,B,0,0
In which of the following organ is the glucose transport under insulin control?,Heart,Kidney,Brain,Intestine,A,Biochemistry,D,B,0,0
R-RNA is mainly produced in,Nucleus,Nucleolus,Ribosome,Endoplasmic reticulum,B,Biochemistry,B,B,1,1
Which organelle is involved in the case of sphinghomyelin deficiency:,Lysosome,Nucleus,Mitochondria,Cell membrane,A,Biochemistry,A,A,1,1
Vitamin k epoxide cycle is seen in,Lungs,Liver,Intestine,Spleen,B,Biochemistry,B,B,1,1
Metachromatic leukodystrophy is due to deficiency of,Hexosaminidase A,Hexosaminidase B,Ceramidase,Arylsulfatase,D,Biochemistry,A,A,0,0
Glutathione is composed of,Cysteine & Glycine,"Glutamic acid, cysteine & glycine","Glutamic acid, glycine & cystine",Lysine & methionine,B,Biochemistry,A,B,0,1
"A scientist has developed an adipocyte cell line that, at 42degC, cannot degrade triglycerides to glycerol and free fatty acids. At 25degC, the triglyceride degradation is normal. Which one of the following best reflects enzymes in which a temperature-sensitive mutation may lead to this phenotype?",Protein Kinase A - yes; Adenylate Kinase - no; Insulin Receptor - no; Glucagon Receptor - yes; Glycerol Kinase - yes,Protein Kinase A - no; Adenylate Kinase - no; Insulin Receptor - yes; Glucagon Receptor - no; Glycerol Kinase - yes,Protein Kinase A - yes; Adenylate Kinase - no; Insulin Receptor - no; Glucagon Receptor - yes; Glycerol Kinase - no,Protein Kinase A - no; Adenylate Kinase - yes; Insulin Receptor - yes; Glucagon Receptor - no; Glycerol Kinase - no,C,Biochemistry,A,A,0,0
Compound that joints glycolysis with glycogenesis and glycogenolysis is,"Glucose 1, 6 biphosphate",Glucose 1 phosphate,Glucose 6 phosphate,"Fructose 1, 6 biphosphate",C,Biochemistry,D,C,0,1
Transketolase requires,FAD,TPP,PLP,FMN,B,Biochemistry,B,B,1,1
Sickling in &;HbS&; disease is primarily caused by,Decreased solubility,Decreased stability,Altered function,Altered O2 binding capacity,A,Biochemistry,A,A,1,1
Most appropriate action of ubiquiting includes,Electron transpo chain,Degradation of proteins,Synthesis of protein,Oxydative deamination,B,Biochemistry,B,B,1,1
RNA dependent DNA polymerase is -,DNA polymerase,RNA polymerase,Reverse transcriptase,Phosphokinase,C,Biochemistry,C,C,1,1
The metabolite that is regarded as the dead end in glycolysis,Pyruvate,Lactate,"2,3-bisphosphoglycerate",3-phosphoglycerate,B,Biochemistry,B,B,1,1
"A 2-year-old girl presented with recurrent abdominal pain. She was admitted in pediatrics for detailed work up. When her blood was drawn for investigation it was milky white. Yellowish white papules noted on the dorsum of hands. On fundoscopic examination opalescent retinal vessels were seen. Fasting triglycerides >1000mg/dL, but cholesterol level was normal. What is the diagnosis?",Familial chylomicronemia syndrome,Familial defective Apo B,Sitostrelomia,Familial dysbetalipoproteinemia,A,Biochemistry,A,A,1,1
In alkaptonuria the urine contains,Hemogentisic acid,Phenylalanine,Ketonis,Acetates,A,Biochemistry,A,A,1,1
Estrogen receptors are seen in,Microsomes,Membrane bound,Nucleus,Mitochondria,C,Biochemistry,C,C,1,1
Myocardial infarction is associated with increased of,CPK,CPK-MM,CPK-MB,CPK - BB,C,Biochemistry,B,B,0,0
Hormone necessary for water and sodium balance,Progesterone,Cortisol,Estrogen,Aldosterone,D,Biochemistry,A,A,0,0
Urea is produced by the enzyme,Uricase,Urease,Glutaminase,Arginase,D,Biochemistry,B,A,0,0
Which of the following has no asymmetric carbon?,Glucose,Glyceraldehyde,Dihydroxyacetone,Fructose,C,Biochemistry,C,C,1,1
Which of the following enzymes does not contain Cu2+,Ceruloplasmin,Cytochrome Oxidase,Xanthine oxidase,Dopamine b-hydroxylase,C,Biochemistry,B,C,0,1
Which of the following enzymes is stable at acidic pH-,Pepsinogen,Trypsinogen,Chymotrypsinogen,Carboxypeptidase A,A,Biochemistry,A,A,1,1
-10.5kacl of energy is released by,ATP,GTP,UTP,Creatinine phosphate,D,Biochemistry,A,B,0,0
Most impoant feature of psoriasis?,Crusting,Scaling,Oozing,Erythema,B,Dental,B,B,1,1
Pemphigus neonatorum is:,Ritter Disease,Epidermolysis bullosa,Congenital syphilis,Pemphigus,A,Dental,C,A,0,1
In a patch of vitiligo,Melanosomes are absent,Melanin synthesis is inhibited,Melanocytes are reduced,Melanocytes are absent,D,Dental,C,D,0,1
Not a histological feature of lichen planus is -,Acanthosis,Hyperkeratosis,Neutrophils in stratum corneum,Pigment incontinence,C,Dental,C,C,1,1
A 42 yr old engineer developed redness of the glans and radial fissuring of the prepuce 2 weeks ago. A potassium hydroxide preparation of scrapings from the glans showed pseudohyphae and buds. Which one of the following systemic illness should he be screened for?,Pulmonary tuberculosis,Diabetes mellitus,Systemic candidiasis,Chronic renal failure,B,Dental,B,B,1,1
Not a feature of Erythema multiforme,Tense vesicles,Itching,Drug induced,Extremities,B,Dental,A,A,0,0
"A gardener comes with linear nodules on the hand for last one year , how will you treat the patient.",Amphotericin B,Griseofulvin,Ampicillin,Iodine,D,Dental,B,B,0,0
A child presenting with localized patches of complete hair loss with normal appearance of scalp. Diagnosis is -,Tinea capitis,Cradle cap,Alopecia areata,Telogen effluvium,C,Dental,A,A,0,0
Merkel cell is derived from,Ectoderm,Neural crest,Mesoderm,Endoderm,A,Dental,A,A,1,1
A patient presented with oral mucosal lesions and flaccid blisters Over skin. It detects what and which pattern under microscopic examination?,Fishnet pattern IgG in epidermis,IgG at Dermo-epiderrnal juction,IgA at Dermo-epidermal junction,IgG in dermis,A,Dental,B,A,0,1
Tinea mannum effects,Dorsuof hands,Palms,Nails,Foot,B,Dental,B,B,1,1
Which of the following is the cardinal symptom of uicaria?,Ridges,Bullae,Paresthesia,Pruritis,D,Dental,D,D,1,1
Koebner phenomenon is characteristic of,Psoriasis,Pemphigus,Pityriasis roscea,Lupus vulgaris,A,Dental,A,A,1,1
Least potent topical steroid,Clobetasol propionate 0.5%,Betamethasone dipropionate 0.05%,Halobetasol propionate 0.05%,Hydrocoisone 1%,D,Dental,D,D,1,1
Superficial veins are found in which layer of skin:,Epidermis,Dermis,Subdermal,Muscles,B,Dental,B,C,1,0
The following test is not used for dignosis of leprosy-,Lepromin test,slit skin smear,Fine needle aspiration cytology,skin biopsy,A,Dental,C,C,0,0
Characterstic nail finding in lichen planus -,Pitting,pterygium,Beau's Lines,Hyperpigmentation of nails,B,Dental,A,B,0,1
A 5 yr old male child presented with H/O recurrent infection. O/E the child has rashes as shown below. Routine blood investigation reveal patient has low platelets. Which of the following diagnosis is possible?,Job syndrome,Wiskott Aldrich syndrome,Meales,Henoch Schoenlein purpura,B,Dental,A,A,0,0
DOC for a pregnant woman in 2nd trimester with pustular psoriasis is -,Prednisolone,Dapsone,Acitretin,Methotrexate,A,Dental,A,B,1,0
5 YR old unvaccinated came to OPD with fever and red eyes on examination the following type of rash is seen. What is the most likely complication associated with this condition Caption,Acute myocarditis,Acute nephritis,Acute pancreatitis,Acute orchits,A,Dental,A,A,1,1
